구분,원/달러,원/100엔,Lf평잔,Lf평잔증가율(%),M2평잔,M2평잔증가율(%),M1평잔,M1평잔증가율(%),본원통화평잔,본원통화평잔증가율(%),국고채?3년(평균),국고채?5년(평균),국고채?10년(평균),"회사채?3년(AA-,?평균)",CD?91물(평균),"콜금리(1일물,평균)",기준금리,국내총생산(명목GDP),경제성장률(실질GDP성장률),기업대출,대기업,중소기업,직접금융,대기업,중소기업,금융채,ABS,수출물가,#NAME?,#NAME?,수입물가,#NAME?,#NAME?,#NAME?,"  1인당 국내총생산(명목, 원화표시)","  1인당 국민총소득(명목, 원화표시)",생산자물가지수(총지수 / 기본분류),  농림수산품,  광산품,  공산품,"  전력,가스,수도및폐기물",  서비스,국내공급물가지수(총지수),  원재료,  중간재,  최종재,  생산재(원재료+중간재),소비자물가지수(총지수),수출물가지수(총지수 / 기본분류 / 원화기준),  농림수산품,  공산품,수입물가지수(총지수 / 기본분류 / 원화기준),  농림수산품,  광산품,  공산품,"본원통화(평잔,계절조정계열)",  현금통화,"M2(평잔, 계절조정계열)",  중앙은행,    예금은행,  2년이상 장기금융상품 등 1),  생명보험계약 준비금 등 2),  중앙은행,  예금은행,  종합금융회사 1),  생명보험회사 2),  Lf(금융기관 유동성),"  국채, 지방채","  회사채, 기업어음 2)",수신합계,  요구불예금,  가계,  기업,비은행금융기관(평잔) 1),  금융자금,    분할상환,    주택자금,    중소기업자금,    축산자금,  종합금융회사,  상호저축은행,  상호금융,  가계대출,      예금은행,      비은행예금취급기관,      보험회사,      주택담보대출-예금취급기관,        주택담보대출-예금은행,  예금은행,  비은행예금취급기관,    주택담보대출-예금은행,    주택담보대출-비은행예금취급기관,    식료품 및 음료,    화학제품 및 의료용 제품,    금속가공제품,"    전자부품, 컴퓨터, 영상, 음향 및 통신장비",    자동차 및 트레일러,  건설업,  서비스업,  요구불예금,  저축성예금,기업대출_은행전체 1),가계대출_은행전체 1),신용카드대출 2)_은행전체 1),한국은행 기준금리,KORIBOR(3개월),국고채(3년),국고채(10년),통안증권(1년),"회사채(3년, AA-)",      정기예금,      정기적금,        표지어음(91-120일),      금융채 3),  대출평균 1),    기업대출,      대기업대출,      중소기업대출,    가계대출,      주택담보대출,      예·적금담보대출,  KOSPI_종목수,  KOSPI_시가총액,  KOSPI_거래량,  KOSPI_거래대금,  KOSPI_거래량 일평균,  KOSPI_거래대금 일평균,  KOSPI_종가,  KOSDAQ_종목수,  KOSDAQ_시가총액,  KOSDAQ_거래량,  KOSDAQ_거래대금,  KOSDAQ_거래량 일평균,  KOSDAQ_거래대금 일평균,  KOSDAQ_종가,  기관투자자(순매수),  개인(순매수),  외국인(순매수) 3),투자자 예탁금,RP,신용융자 잔고 2),계약금액 1),  거래량(총 옵션거래),  거래대금(총 옵션거래),  거래량(CALL 옵션),  거래대금(CALL 옵션),  거래량(PUT 옵션),  거래대금(PUT 옵션),BSI(종합지표),경제인식조사,경제전망조사,소비지출전망조사,가계저축 및 부채조사,부도예측점수,부채비율,자기자본비율,차입금의존도,유동비율,비유동비율,매출액영업이익률,매출액세전순이익률,이자보상비율,금융비용대매출액,차입금평균이자율,인건비대매출액,인건비대영업총비용,부도율
2008,936.1,828.6,"1,794.80",11.9,"1,367.70",14.3,307.3,-1.8,52.3,7.7,5.27,5.36,5.57,7.02,5.49,4.78,3,"1,202,972.90",3,459.7,59.4,400.3,113.8,30,3,17,8,21.8,27.2,21.8,36.2,54.6,28.5,22.8,"2,452.30","2,452.90",92.81,64.4,65.86,101.87,79.65,85.13,98.41,129.43,101.88,86.58,107.2,81.656,129.98,82.78,130.3,123.46,97.11,164.02,113.72,"5,227,280,000","2,211,530,000","136,771,340,000","3,172,120,000.00","69,837,790,000.00","16,413,420,000.00","26,299,360,000.00","7,263,060,000.00","85,107,730,000.00",1664470000,24291320000,"183,882,000,000","13,652,490,000","9,741,190,000","98,760,110,000","6,648,260,000","32,661,510,000","17,733,640,000","106,298,000,000","89,373,710,000","12,479,540,000","6,846,270,000","279,510,000","158,810,000","2,152,870,000","5,473,820,000","13,159,900,000","68,360,240,000","38,857,320,000","12,669,080,000","6,327,040,000","30,887,920,000","25,473,570,000","38,857,320,000","12,669,080,000","25,473,570,000","5,414,350,000","1,207,620,000","1,951,650,000","1,871,000,000","1,735,620,000","1,897,710,000","7,240,810,000","35,167,070,000",33,1.2,1.5,0.6,1.8,3,5.48,5.27,5.57,5.33,7.02,5.67,4.83,5.26,6.19,7.17,7.17,6.79,7.31,7.19,7,6.84,928,"57,692,770,350","88,149,063,223","128,716,000,000","355,439,771","519,018,049","1,124","1,049","4,618,621,110","125,464,000,000","30,897,874,696","505,904,338","124,588,204",332,"3,175,139,600","283,435,400","-3,360,340,400","924,057,100","3,841,441,300","150,604,300","623,716,000,000","2,766,474,404","28,722,893,200","1,564,965,032","13,317,026,000","1,201,509,372","15,405,867,200",88.44333333,85.14285714,96.58333333,100.0555556,102.8229167,103.7645,126.515,44.16,27.29,116.395,128.785,5.445,3.05,373.285,1.465,6.42,9.995,12.52,0.70%
2009,"1,259.50","1,396.80","1,937.30",7.9,"1,508.60",10.3,357.3,16.3,61.7,18.1,4.04,4.64,5.17,5.81,2.63,1.98,2,"1,255,305.50",0.8,506.2,75.5,430.6,126.6,53.9,5.4,17.3,19.1,-0.2,5.8,-0.2,-4.1,-16.9,0.2,15.5,"2,545.90","2,542.10",92.62,70.01,72.24,100.08,83.78,86.03,96.67,110.43,100.17,90.33,102.74,83.906,129.72,87.6,130.01,118.34,94.74,134.26,117.38,"6,173,960,000","2,507,030,000","150,855,040,000","3,913,170,000.00","79,130,090,000.00","13,708,210,000.00","29,170,350,000.00","6,620,020,000.00","94,183,400,000.00",2646620000,26204350000,"201,215,000,000","15,225,500,000","12,454,740,000","107,728,000,000","7,513,960,000","36,053,380,000","21,507,970,000","116,990,000,000","92,945,260,000","13,094,560,000","6,162,680,000","319,350,000","153,790,000","1,945,130,000","6,453,490,000","13,756,180,000","73,429,190,000","40,950,400,000","14,025,590,000","6,607,800,000","33,590,630,000","27,368,700,000","40,950,400,000","14,025,590,000","27,368,700,000","6,221,930,000","1,208,300,000","1,836,570,000","2,030,900,000","1,811,310,000","1,913,510,000","6,540,290,000","37,414,220,000",33.3,1.3,1,0.5,1.4,2,2.63,4.04,5.17,2.98,5.81,3.23,3.3,3.07,3.88,5.65,5.65,5.61,5.65,5.73,5.54,6.07,925,"88,793,518,273","122,871,000,000","146,627,000,000","485,657,258","579,555,243","1,683","1,036","8,610,334,628","196,771,000,000","53,096,081,463","777,752,676","209,865,935",514,"-2,546,930,200","-196,121,900","3,238,641,200","1,178,652,100","4,659,158,200","438,291,700","765,281,000,000","2,920,990,655","25,657,814,500","1,466,185,536","12,623,964,000","1,454,805,119","13,033,850,500",87.15333333,85.14285714,96.58333333,100.0555556,102.8229167,100.6755,137.735,42.39,28.925,119.415,134.075,5.22,4.81,322.645,1.675,5.425,9.81,12.325,1.71%
2010,"1,164.50","1,264.50","2,096.50",8.2,"1,639.70",8.7,399.4,11.8,67.6,9.5,3.72,4.31,4.77,4.66,2.67,2.16,2.5,"1,379,460.20",7,517.1,87.3,429.7,123.3,52.4,3.7,26.5,11.1,-2.6,9.3,-2.6,5.3,16.7,1.8,-6.5,"2,783.70","2,787.70",96.15,76.3,80.06,104.38,86.81,87.52,101.34,127.32,104.32,92.13,108.94,86.373,126.4,95.74,126.59,124.63,103.45,157.8,117.24,"6,758,510,000","3,134,650,000","163,967,510,000","4,571,300,000.00","86,094,220,000.00","13,862,370,000.00","31,823,120,000.00","8,706,780,000.00","100,370,000,000.00",4812470000,28637580000,"213,181,000,000","15,648,310,000","15,725,220,000","112,408,000,000","8,075,150,000","41,447,160,000","26,713,200,000","124,757,000,000","96,189,040,000","17,460,190,000","5,598,880,000","310,330,000","135,560,000","1,704,130,000","6,474,580,000","14,491,960,000","79,377,890,000","43,145,720,000","16,208,330,000","6,798,980,000","35,982,580,000","28,962,300,000","43,145,720,000","16,208,330,000","28,962,300,000","7,020,280,000","1,323,660,000","1,993,150,000","2,087,790,000","1,954,480,000","1,823,210,000","5,813,850,000","38,723,270,000",34.8,1.2,1.1,0.6,1.3,3,2.68,3.72,4.77,3.03,4.66,3.18,3.46,2.88,3.61,5.51,5.56,5.25,5.68,5.38,5,5.36,927,"114,189,000,000","95,595,708,006","141,056,000,000","380,859,394","561,976,818","2,051","1,035","9,797,225,618","161,403,000,000","48,309,109,587","643,040,950","192,466,572",511,"-1,251,013,800","-538,378,200","2,157,310,700","1,370,243,300","5,513,767,700","597,407,400","994,635,000,000","3,525,898,562","31,805,973,000","1,769,477,029","15,481,166,400","1,756,421,533","16,324,806,600",98.37166667,96.04761905,106.3541667,106.7777778,103.375,106.1985,129.22,43.995,28.385,119.42,130.555,6.01,5.92,434.33,1.455,5.23,9.39,11.895,2.29%
2011,"1,134.80","1,393.60","2,208.20",5.3,"1,709.00",4.2,425.7,6.6,75.2,11.3,3.62,3.9,4.2,4.41,3.44,3.09,3.25,"1,448,575.60",3.7,556.2,115.1,441.1,143.4,72.2,2.5,27.3,12.6,0.2,14.7,0.2,13.4,27.6,7,0.1,"2,900.80","2,918",102.6,81.98,81.77,113.77,91.75,89.65,109.53,159.84,112.76,95.01,119.28,89.85,126.7,109.85,126.79,139.08,119.88,202.31,122.3,"7,523,200,000","3,655,010,000","170,898,450,000","4,907,550,000","90,369,950,000","14,210,790,000","35,707,790,000","9,507,960,000","105,098,000,000",4575250000,31754250000,"227,029,000,000","18,519,880,000","18,657,350,000","115,430,000,000","8,458,210,000","44,543,630,000","29,528,250,000","130,604,000,000","103,705,000,000","19,710,870,000","6,287,620,000","296,790,000","120,650,000","1,674,200,000","5,023,760,000","15,717,190,000","86,138,790,000","45,585,670,000","18,374,890,000","7,470,690,000","38,841,590,000","30,887,650,000","45,585,670,000","18,374,890,000","30,887,650,000","7,953,940,000","1,478,120,000","2,241,450,000","2,303,640,000","2,279,550,000","2,048,070,000","5,393,660,000","41,438,530,000",34.2,1.2,1.1,0.7,1.9,3,3.43,3.62,4.2,3.55,4.41,3.69,3.72,3.33,3.93,5.76,5.86,5.5,6,5.47,4.92,5.38,938,"104,200,000,000","87,732,413,177","170,206,000,000","353,759,731","686,314,649","1,826","1,036","10,599,358,105","134,765,000,000","55,800,701,442","543,407,305","225,002,828",500,"1,195,168,700","-181,993,600","-799,548,700","1,742,701,400","5,887,402,500","444,111,100","1,125,990,000,000","3,671,662,261","43,632,635,500","1,968,101,200","20,355,061,800","1,703,561,058","23,277,573,600",93.95916667,81.60714286,94.66666667,104.4166667,104.3125,103.3785,130.965,43.685,28.845,119.625,131.28,5.03,4.445,382.955,1.38,5.065,9.03,11.455,0.96%
2012,"1,151.80","1,481.20","2,379.50",7.8,"1,798.60",5.2,442,3.8,82.1,9.2,3.13,3.24,3.45,3.77,3.3,3.08,2.75,"1,504,674.10",2.5,589,142.2,446.8,131.1,58.8,0.7,26.2,18.4,-2.4,-2.8,-2.4,-0.7,1.2,-2.9,1.2,"2,997.40","3,027.40",103.31,82.66,84.6,113.33,98.31,91.08,110.02,164.61,112.16,96.46,117.37,91.815,123.7,106.78,123.79,138.08,110.98,206.1,120.23,"8,213,110,000","4,139,640,000","179,862,570,000","5,640,960,000.00","94,795,680,000.00","14,945,600,000.00","43,143,700,000.00","9,998,750,000.00","110,536,000,000.00",4309970000,38456230000,"245,677,000,000","18,091,820,000","19,810,100,000","120,278,000,000","8,762,760,000","47,079,530,000","30,296,960,000","142,817,000,000","107,329,000,000","19,698,520,000","7,187,140,000","290,800,000","117,890,000","1,491,250,000","3,227,620,000","16,163,390,000","90,594,410,000","46,726,860,000","19,258,970,000","7,958,460,000","39,781,240,000","31,822,670,000","46,726,860,000","19,258,970,000","31,822,670,000","7,958,570,000","1,537,110,000","2,437,700,000","2,383,020,000","2,342,160,000","2,314,860,000","4,822,380,000","42,238,200,000",32.7,1.2,1.2,0.8,2,3,3.27,3.13,3.45,3.14,3.77,3.43,3.65,3.23,3.52,5.4,5.49,5.18,5.66,5.22,4.63,5.11,930,"115,429,000,000","120,647,000,000","119,626,000,000","486,479,530","482,364,278","1,997","1,010","10,912,194,310","146,478,000,000","52,802,820,629","590,636,297","212,914,599",496,"363,408,700","-1,555,000,800","1,746,213,800","1,707,495,000","6,233,906,900","388,053,000","794,373,000,000","1,575,394,249","30,468,469,000","824,562,078","15,382,339,200","750,832,171","15,086,129,800",86.50583333,80.11904762,90.57291667,102.5833333,102.3958333,100.9795,124.32,45.065,28.75,124.09,129.855,4.62,4.335,357.685,1.355,4.835,9.325,11.925,2.02%
2013,"1,070.60","1,238.30","2,543.20",6.9,"1,885.80",4.8,484.1,9.5,91.4,11.3,2.79,3,3.28,3.19,2.72,2.59,2.5,"1,570,938.20",3.3,623.8,150.4,473.4,121.5,45.9,0.8,28.3,20.5,-4.3,-12.4,-4.2,-7.3,-7.8,-7.8,-4.6,"3,115.20","3,134.10",101.66,77.72,86.59,109.94,103.6,91.34,106.56,152.56,108.17,95.83,112.47,93.01,118.42,93.52,118.56,127.95,104.47,190.08,111.74,"9,137,940,000","4,875,820,000","188,578,130,000","6,697,540,000.00","97,645,580,000.00","16,733,190,000.00","49,011,930,000.00","11,866,670,000.00","113,545,000,000.00",4355090000,44413630000,"261,412,000,000","19,409,440,000","21,568,320,000","123,488,000,000","9,705,550,000","50,170,190,000","31,075,590,000","154,967,000,000","112,788,000,000","21,237,880,000","8,593,860,000","278,580,000","124,810,000","1,029,860,000","2,909,330,000","16,869,240,000","96,057,960,000","48,113,130,000","20,605,510,000","8,644,240,000","41,017,720,000","32,892,310,000","48,113,130,000","20,605,510,000","32,892,310,000","8,125,410,000","1,686,770,000","2,570,420,000","2,577,980,000","2,336,480,000","2,556,210,000","4,722,180,000","44,507,560,000",28.9,1.1,1.1,0.7,1.8,3,2.7,2.79,3.28,2.66,3.19,2.7,3.06,2.54,2.92,4.64,4.74,4.46,4.92,4.35,3.86,4.54,918,"118,597,000,000","81,096,386,463","98,637,526,609","328,325,451","399,342,213","2,011","1,014","11,929,252,929","97,590,991,223","45,036,902,942","395,105,228","182,335,639",500,"505,816,600","-563,903,100","341,114,300","1,390,042,500","6,956,560,500","419,183,000","642,142,000,000","580,460,364","26,287,339,700","304,335,020","13,127,992,500","276,125,344","13,159,347,200",84.565,85.29761905,95.17708333,102.1666667,99.66666667,102.9165,116.965,46.665,27.97,129.46,126.02,4.695,3.78,398.765,1.24,4.325,9.87,12.67,1.10%
2014,"1,055.40","1,002.30","2,721.50",7,"2,009.60",6.6,536.7,10.9,103.3,13.1,2.59,2.84,3.18,2.99,2.49,2.34,2,"1,638,484.80",3.2,675.8,168.9,506.9,121.9,46.5,1.6,31.5,18.2,-6,-6,-6,-7.5,-9.8,-7.4,-3.3,"3,228.80","3,243.70",101.12,78.23,88.45,107.6,109.1,92.67,104.43,142.23,105.37,96.5,108.88,94.196,111.36,87.9,111.48,118.29,102.32,170.85,104.39,"10,333,140,000","5,817,260,000","200,957,630,000","8,170,010,000.00","103,783,870,000.00","18,308,350,000.00","52,884,240,000.00","13,870,610,000.00","119,556,000,000.00",4436610000,48474210000,"284,092,000,000","20,937,770,000","23,835,680,000","131,081,000,000","10,963,910,000","53,053,980,000","32,126,600,000","166,865,000,000","122,370,000,000","23,404,690,000","10,978,990,000","263,200,000","147,300,000","1,017,960,000","3,002,810,000","18,228,530,000","102,508,000,000","51,963,680,000","22,618,640,000","9,084,930,000","45,203,130,000","36,557,960,000","51,963,680,000","22,618,640,000","36,557,960,000","8,645,170,000","1,753,700,000","2,780,570,000","2,828,470,000","2,380,840,000","2,876,940,000","4,341,540,000","48,067,400,000",26.7,1.2,0.9,0.5,1.6,2,2.46,2.589,3.183,2.445,2.983,2.42,2.66,2.24,2.57,4.26,4.39,4.1,4.6,3.87,3.55,4.05,899,"119,225,000,000","68,130,089,442","97,597,712,731","278,081,998","398,358,011","1,916","1,065","14,308,777,210","86,861,904,905","48,273,092,642","354,538,387","197,033,031",543,"-69,338,400","-283,627,800","483,481,800","1,614,136,600","7,001,272,300","507,703,700","487,955,000,000","462,010,885","17,868,216,700","237,793,101","8,752,324,200","224,217,784","9,115,892,400",85.47916667,86.83333333,96.3125,104.0555556,100.9583333,102.5295,111.885,47.74,28.755,131.085,123.405,4.085,3.77,348.425,1.205,4.03,10.615,13.375,1.30%
